id;order_id;status;customer_id;name;email;address_line_1;address_line_2;zip_code;city;country;delivery_instructions;created_at;updated_at
1;huff indeed biodegrade;CREATED;nervous;unto bonfire than;Breno_Macedo@bol.com.br;as yum;whoa;61794-018;Batista de Nossa Senhora;Porto Rico;per sans meanwhile;2025-03-17T23:13:39;2025-03-17T04:14:21
2;unethically snack consequently;CREATED;demobilise catalog;insecure knavishly;Silas.Santos94@hotmail.com;until;well-documented;72925-195;Reis do Sul;Lituânia;unimpressively;2025-03-17T19:06:09;2025-03-17T02:19:18
3;travel rekindle near;DELIVERED;uh-huh wrongly;kiddingly;Vitoria51@hotmail.com;willfully;aboard;72147-782;Batista do Sul;Antilhas Holandesas;idealistic ah;2025-03-17T16:43:28;2025-03-17T14:31:00
4;upon quarrelsomely scenario;CREATED;pilot;mediocre;Hugo88@yahoo.com;quarrelsomely heating utilization;the;33598-038;Alessandra do Sul;Anguila;so plus indeed;2025-03-17T03:30:53;2025-03-17T18:58:23
5;excellent viciously;IN_TRANSIT;whoever;scamper whirlwind talkative;Nicolas.Pereira97@bol.com.br;capitalise;how;57209-702;Macedo do Norte;Zâmbia;down;2025-03-17T13:56:17;2025-03-17T13:16:07
6;natural why;IN_TRANSIT;feminize near astride;yarmulke why;Antonella80@hotmail.com;huzzah gee;orchid;16851-996;Albuquerque do Sul;Ilha de Man;up;2025-03-17T20:52:13;2025-03-17T23:04:10
7;colorful pillbox;PREPARING;cafe;very;Matheus86@live.com;yum;hence different ugh;52559-174;Dalila do Sul;Porto Rico;bah;2025-03-17T15:38:47;2025-03-17T04:42:06
8;after tabletop phooey;CREATED;astonishing schematise;regarding worth edible;Nataniel_Oliveira26@yahoo.com;gut ah pfft;where sometimes boohoo;41239-406;Franco do Norte;Moçambique;an knowingly gosh;2025-03-17T19:57:41;2025-03-17T03:59:19
9;abseil slip;DELIVERED;woot condense;neatly construe;Joao.Carvalho31@hotmail.com;adolescent;impractical lawful;46068-561;Xavier do Norte;Santa Lúcia;never tooth;2025-03-17T11:33:03;2025-03-17T04:53:37
10;amongst strange;DELIVERED;barracks;till;MariaAlice_Saraiva@live.com;rebuff;since speedily plagiarise;99758-385;Ana Laura de Nossa Senhora;Latvia;greatly ha;2025-03-17T14:09:13;2025-03-17T13:06:09
