id;customer_id;name;email;address_line_1;address_line_2;zip_code;city;country
1;ack;ack cappelletti submitter;Mercia7@gmail.com;meanwhile fooey tightly;unwieldy blah scuffle;38993-443;Maria Júlia do Sul;Ilhas Cook
2;next;where redress towards;Matheus.Oliveira0@yahoo.com;kindheartedly lest story;until;61606-939;Davi do Sul;Tajiquistão
3;velocity;frightened concrete charming;Mariana55@live.com;till;miserably;37047-311;Clara do Descoberto;Brasil
4;bah carnival;homely tuba;Salvador_Reis0@bol.com.br;ew excitedly;quaintly yesterday whenever;34909-102;Santos de Nossa Senhora;Estados Unidos das Ilhas Virgens
5;hm wildly given;fidget beside depend;EnzoGabriel_Carvalho@bol.com.br;fax at supposing;concentration innovate out;60467-601;Vicente de Nossa Senhora;Niue
6;fully understanding;marathon ack nicely;Melissa.Reis22@gmail.com;icebreaker;huzzah character;96400-266;Oliveira do Sul;Tonga
7;oof;humidity anticodon meh;Rafael.Xavier@hotmail.com;geez;excluding chunder quicker;43130-528;Martins do Sul;Quirguistão
8;stir-fry consequently;mmm;Marcelo.Batista44@bol.com.br;helpfully;er;16542-889;Santos do Descoberto;Nauru
9;guilt;even;Vitoria.Franco@live.com;acceptable trial pleasant;provided boohoo beautifully;97379-543;Nogueira de Nossa Senhora;Togo
10;postbox;meanwhile manipulate;Marli.Macedo15@gmail.com;plus bootleg;excess so;39055-952;Melo do Norte;Nepal
